Class Name,Class Code,Class Time,Student Age,Tuition with early bird discount,Regular Tuition,Material Fee,Textbook Fee,Class Size,Category,Class Start and End Date
Adult Yoga (瑜伽),Yoga-102,10:00 AM ~ 10:50 AM,18+,365,395,,,16,成人,08/17/2025 - 05/17/2025
AMC 8 (美国数学竞赛 8,61课时),AMC8-101,10:00 AM ~ 10:50 AM,11 to 14,720,750,$20,,18,数学,08/17/2025 - 05/17/2025
Basic Skills Training in Dance (舞蹈基本功训练),BSTD-201,10:00 AM ~ 10:50 AM,18+,365,395,,,15,成人,08/17/2025 - 05/17/2025
Children Badminton Intermediate (少儿羽毛球中级班),BD-201,10:00 AM ~ 10:50 AM,8+,465,495,$10,,12,儿艺,08/17/2025 - 05/17/2025
Competitive Math III (竞赛数学 III),CM-301,10:00 AM ~ 10:50 AM,10 to 12,495,525,$20,,18,数学,08/17/2025 - 05/17/2025
Digital Art for Kids and Teens (儿童数码绘画),DAY-201,10:00 AM ~ 10:50 AM,7+,595,625,,,15,电脑,08/17/2025 - 05/17/2025
Drawing I (绘画 I 级),DW-101,10:00 AM ~ 10:50 AM,5~8,450,480,$5,,16,儿艺,08/17/2025 - 05/17/2025
Lego Robotics Programming Advanced Class (乐高机器人中级提高班),LR-301,10:00 AM ~ 10:50 AM,9 to 15,595,635,$10,,20,电脑,08/17/2025 - 05/17/2025
Math Olympiads I (奥数 I),MO-101,10:00 AM ~ 10:50 AM,9 to 10,480,510,$20,,18,数学,08/17/2025 - 05/17/2025
Photography II (摄影艺术 II),PG-201,10:00 AM ~ 10:50 AM,15+,410,440,,,20,成人,08/17/2025 - 05/17/2025
Tai Chi 1 Hr (太极 1小时课),TC-202,10:00 AM ~ 10:50 AM,18+,225,255,,,20,成人,08/17/2025 - 05/17/2025
Tennis Beginner (网球初级班),TN-101,10:00 AM ~ 10:50 AM,7+,475,505,$5,,20,儿艺,08/17/2025 - 05/17/2025
ACSL Junior Division and Python Programming,ACSL-201,11:00 AM ~ 11:50 AM,11-14,595,625,,,15,电脑,08/17/2025 - 05/17/2025
Adult Badminton Lesson (成人羽毛球训练三班),ABC-301,11:00 AM ~ 11:50 AM,18+,435,465,$10,,8,成人,08/17/2025 - 05/17/2025
Adult Chinese Folk Dance (成人形体民族舞非表演一班),AFD-101,11:00 AM ~ 11:50 AM,18+,390,420,,,28,成人,08/17/2025 - 05/17/2025
Adult Club Badminton (成人娱乐羽毛球三班),ABD-103,11:00 AM ~ 11:50 AM,18+,175,205,$10,,11,成人,08/17/2025 - 05/17/2025
Adult Drawing (成人绘画),ADW-101,11:00 AM ~ 11:50 AM,18+,395,425,,,18,成人,08/17/2025 - 05/17/2025
Adult Guitar Play and Sing Beginner (成人吉他弹唱入门班),ADG-101,11:00 AM ~ 11:50 AM,18+,480,510,,,18,成人,08/17/2025 - 05/17/2025
Adult Rhythmic Dance Non-Performance (成人劲舞非表演班),ARD-101,11:00 AM ~ 11:50 AM,18+,380,410,,,16,成人,08/17/2025 - 05/17/2025
AMC 8 (美国数学竞赛 8,61课时),AMC8-102,11:00 AM ~ 11:50 AM,11 to 14,720,750,M20,,18,数学,08/17/2025 - 05/17/2025
Children Badminton Beginner (少儿羽毛球初级班),BD-102,11:00 AM ~ 11:50 AM,6+,465,495,M10,,16,儿艺,08/17/2025 - 05/17/2025
Competitive Math II (竞赛数学 II),CM-201,11:00 AM ~ 11:50 AM,8 to 10,480,510,M20,,18,数学,08/17/2025 - 05/17/2025
Digital Illustration (数码插画设计),DIY-301,11:00 AM ~ 11:50 AM,9+,595,625,,,15,电脑,08/17/2025 - 05/17/2025
Drawing I (绘画 I 级),DW-102,11:00 AM ~ 11:50 AM,5~8,450,480,M5,,15,儿艺,08/17/2025 - 05/17/2025
Math Olympiads II (奥数 II),MO-201,11:00 AM ~ 11:50 AM,10 to 12,480,510,M20,,18,数学,08/17/2025 - 05/17/2025
Tennis Intermediate (网球中级班),TN-202,11:00 AM ~ 11:50 AM,7+,475,505,M5,,16,儿艺,08/17/2025 - 05/17/2025
The Art of Waist Drum and Handkerchief Dance (腰鼓和红绸舞),AWD-202,11:00 AM ~ 11:50 AM,18+,365,395,,,20,成人,08/17/2025 - 05/17/2025
Adult Art of Singing Class (成人声乐艺术学习二班),AS-102,11:00 AM ~ 12:50 PM,18+,870,900,,,10,成人,08/17/2025 - 05/17/2025
Chinese 1st Grade (中文班 1年级2班),C-102,11:00 AM ~ 12:50 PM,6+,665,695,,10,20,中文,08/17/2025 - 05/17/2025
Chinese 2nd Grade (中文班 2年级2班),C-202,11:00 AM ~ 12:50 PM,7+,665,695,,10,20,中文,08/17/2025 - 05/17/2025
Chinese 3rd Grade (中文班 3年级2班),C-302,11:00 AM ~ 12:50 PM,8+,665,695,,10,20,中文,08/17/2025 - 05/17/2025
Chinese 4th Grade (中文班 4年级2班),C-402,11:00 AM ~ 12:50 PM,9+,665,695,,10,20,中文,08/17/2025 - 05/17/2025
Chinese 5th Grade (中文班 5年级2班),C-502,11:00 AM ~ 12:50 PM,10+,665,695,,10,20,中文,08/17/2025 - 05/17/2025
Chinese 6th Grade (中文班 6年级2班),C-602,11:00 AM ~ 12:50 PM,11+,665,695,,10,20,中文,08/17/2025 - 05/17/2025
Chinese 7th Grade (中文班 7年级2班),C-702,11:00 AM ~ 12:50 PM,12+,665,695,,10,20,中文,08/17/2025 - 05/17/2025
Chinese as a Second Language 2 (少儿汉语班 2级),CSL-202,11:00 AM ~ 12:50 PM,6~10,665,695,$5,,20,中文,08/17/2025 - 05/17/2025
Chinese as a Second Language 3 (少儿汉语班 3级),CSL-302,11:00 AM ~ 12:50 PM,7~11,665,695,$5,,20,中文,08/17/2025 - 05/17/2025
Chinese as a Second Language 7 (少儿汉语班 7级),CSL-702,11:00 AM ~ 12:50 PM,8~12,665,695,$5,,20,中文,08/17/2025 - 05/17/2025
Chinese Pre-Kindergarten (中文班 PK),PK-102,11:00 AM ~ 12:50 PM,4+,665,695,,10,15,中文,08/17/2025 - 05/17/2025
Lego Robotics / First Lego League Competition (乐高竞赛队),LR-401,11:00 AM ~ 12:50 PM,9 to 15,760,790,$10,,12,电脑,08/17/2025 - 05/17/2025
Stanford Chinese 3 (斯坦福中文马立平教材3年级),SC-302,11:00 AM ~ 12:50 PM,8+,665,695,,,20,中文,08/17/2025 - 05/17/2025
Stanford Chinese 4 (斯坦福中文马立平教材4年级),SC-402,11:00 AM ~ 12:50 PM,9+,665,695,,,20,中文,08/17/2025 - 05/17/2025
Stanford Chinese 6 (斯坦福中文马立平教材6年级),SC-602,11:00 AM ~ 12:50 PM,11+,665,695,,,20,中文,08/17/2025 - 05/17/2025
Stanford Chinese 8 (斯坦福中文马立平教材8年级),SC-802,11:00 AM ~ 12:50 PM,13+,665,695,,,20,中文,08/17/2025 - 05/17/2025
Adult Badminton Lesson (成人羽毛球训练四班),ABC-401,12:00 PM ~ 12:50 PM,18+,435,465,$10,,8,成人,08/17/2025 - 05/17/2025
Adult Chinese Folk Dance (成人形体民族舞非表演二班),AFD-102,12:00 PM ~ 12:50 PM,18+,390,420,,,24,成人,08/17/2025 - 05/17/2025
Adult Chinese Painting for Beginner (成人国画写意花鸟初学者班),ACP-104,12:00 PM ~ 12:50 PM,18+,420,450,$40,,15,成人,08/17/2025 - 05/17/2025
Adult Club Badminton (成人娱乐羽毛球四班),ABD-104,12:00 PM ~ 12:50 PM,18+,175,205,$10,,8,成人,08/17/2025 - 05/17/2025
Adult Guitar Play and Sing Advanced (成人吉他弹唱提高班),ADG-202,12:00 PM ~ 12:50 PM,18+,480,510,,,18,成人,08/17/2025 - 05/17/2025
Adult Rhythmic Dance Performance (成人劲舞表演班),ARDP-202,12:00 PM ~ 12:50 PM,18+,380,410,,,16,成人,08/17/2025 - 05/17/2025
AMC 10 (美国数学竞赛 10,61课时),AMC-103,12:00 PM ~ 12:50 PM,13-16,740,770,$20,,18,数学,08/17/2025 - 05/17/2025
Children Badminton Intermediate (少儿羽毛球中级班),BD-202,12:00 PM ~ 12:50 PM,8+,465,495,$10,,16,儿艺,08/17/2025 - 05/17/2025
Drawing III (绘画 III 级),DW-301,12:00 PM ~ 12:50 PM,9-12,450,480,$5,,15,儿艺,08/17/2025 - 05/17/2025
Introduction to Physics (基础物理学),PHY-101,12:00 PM ~ 12:50 PM,11-14,480,510,,,20,电脑,08/17/2025 - 05/17/2025
Lego Robotics Programming Beginner (乐高机器人入门二班),LR-102,12:00 PM ~ 12:50 PM,8 to 11,595,635,$10,,20,电脑,08/17/2025 - 05/17/2025
MATHCOUNTS & MO 4 (初中数学竞赛),MC-401,12:00 PM ~ 12:50 PM,12 to 14,505,535,$20,,18,数学,08/17/2025 - 05/17/2025
Scratch (Scratch 程序语言),Scratch-201,12:00 PM ~ 12:50 PM,8+,595,625,,,15,电脑,08/17/2025 - 05/17/2025
Tennis Advanced (网球提高班),TN-301,12:00 PM ~ 12:50 PM,11+,530,560,$5,,16,儿艺,08/17/2025 - 05/17/2025
Senior English (老年英语),Code: SE-101F,09:00 AM ~ 09:50 AM,55+,$75,$90,,,30,成人,08/17/2025 - 12/14/2025
AI Language Foundation with Visualization Applications (人工智能语言基础和可视化实践),CS-100F,09:00 AM ~ 10:50 AM,10+,$900,$930,,,15,电脑,08/17/2025 - 12/14/2025
AI Core Language Foundation (AI 语言核心基础教程),CS-101F,11:00 AM ~ 12:50 PM,12+,$1050,$1080,,,15,电脑,08/17/2025 - 12/14/2025
